type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
458,0.8599608,-0.4530054,-0.19786154,0.48277542,-0.10121668,-0.679644,-0.54847354,-0.12839392,-0.36797625,0.56665504,-1.5238796,0.2828108,-0.5199119,0.42746478,-0.19488747,-0.35297498,0.40268937,1.0654683,-0.40715018,-0.897272,-0.115635805,-0.22365169,0.19422856,1.0421772,-0.26099712,-0.45374674,0.17363772,-0.19930188,-0.2929583,-0.8756459,0.11590564,0.5451719,0.2555837,0.31958476,0.20153582,-0.77144545,-0.4574445,0.63044226,0.45582777,-0.42568967,-0.90131426,-0.41738448,-0.31530192,-0.505369,-0.22165462,-0.46780804,0.06275222,0.71551853,0.18726607,0.22076884,0.22073168,0.68208045,0.7510617,0.016899949,-0.5566411,0.21583115,0.28867593,-0.4558156,0.006965088,-0.0915186,-0.9571342,-0.055808403,-0.32976234,0.6770501
460,0.5485478,-0.21760285,-0.51221436,0.3993668,0.17478485,-0.4014712,-0.7547043,-0.118508965,-0.74079967,0.35237503,-1.4198232,0.41229144,-0.5649578,0.2349674,-0.2797075,-0.00024672886,0.4879452,0.9789103,-0.34221563,-0.8625812,0.1035647,-0.06324696,0.48846197,0.7764453,-0.27486673,-0.19998641,0.1264237,-0.1514481,-0.34339026,-0.6145956,0.28377518,0.49515182,0.049481556,-0.065301925,0.08150153,-0.7751839,-0.25566274,0.66040415,0.0068512573,-0.27591005,-0.9213429,-0.25946322,-0.21736111,-0.44707206,-0.19265291,-0.5015417,0.10421431,0.6593756,0.20387009,0.3986768,0.421143,0.39994046,0.19685303,-0.17985654,-0.53686386,0.13583872,0.23122624,-0.19397122,-0.22335252,-0.050462775,-1.0246145,-0.032510642,0.039142698,0.86824214
464,0.37455705,0.06968465,-0.7064068,0.6555051,0.61379784,-0.28315094,-0.8602955,0.101319626,-1.0148586,-0.13694683,-1.1850791,0.83511543,-0.52755976,-0.0033662622,-0.29335696,-0.16108942,0.62826246,0.19407518,-0.38115662,-0.7880826,-0.27101853,-0.25634843,0.51216465,0.260282,-0.30920374,-0.03302475,0.36500144,-0.34678793,-0.327223,-0.28906602,0.21610193,0.5264213,0.10874212,0.33578625,0.036895335,-0.17205381,-0.09348314,0.6086908,-0.51456964,0.029466629,-0.9418936,-0.44623768,-0.15606597,-0.24959941,-0.3940054,-0.23066466,0.3931614,0.58891994,0.4605528,0.2620652,0.6714257,0.350381,-0.3725153,-0.18050213,-0.32257435,-0.07396991,0.06911807,-0.12632859,-0.41885695,0.07544731,-0.20427217,0.09480654,0.09694272,0.42436123
514,1.5496728,-1.1514523,0.15713082,0.19097894,-0.4073605,-0.8518426,0.18272467,0.13567056,0.18811598,-0.048802484,-0.9854979,0.21181676,-0.050735023,-0.3249049,-0.47356004,-0.66978914,0.5500562,0.5825499,-0.3802384,-0.42236188,-0.7169003,-0.22302102,0.7367921,1.197297,0.017356217,-1.4832424,0.42543793,-0.47219193,0.3279642,-0.433982,1.3763487,1.1336017,0.70732915,0.9621418,-0.12575594,-1.1619279,-0.3255321,0.42586282,0.8509569,-0.75603163,0.15490043,-0.97151923,-1.0127343,-0.19123365,-0.59650505,-0.4684975,0.81485456,0.500345,-0.7658683,-0.41402212,0.43104267,0.4212955,1.3931623,0.83615565,-0.67931503,0.6687078,0.5417848,-0.6521567,0.3530257,-0.033795424,-0.9841268,-0.30291495,-0.8795558,0.55114734
522,1.1442124,-0.33827925,-0.547991,1.0227373,0.23441721,-0.36031693,-0.26810062,0.9875269,-0.22587706,-1.3049431,-0.2999192,1.332487,-0.40321273,-0.32463947,-0.72750384,-0.5154787,1.3667046,-1.1316419,-0.08970994,0.11420229,-1.4676992,-0.35874975,1.0763835,0.32174003,-0.37543988,-0.7515738,0.538884,-0.871565,0.48186368,-0.23708917,1.2188637,0.8063704,0.12320448,1.2355453,0.16065006,-0.0259281,-0.03338037,0.4413585,-0.37426716,0.41731727,-0.15767178,-1.3672458,-0.7561052,0.4392529,-0.9409821,-0.30022383,1.0656288,0.08249862,0.059341542,-0.815811,0.9067538,-0.06545491,0.18239354,0.96920323,-0.1410265,0.071384326,0.31259456,-0.18187594,-0.25774753,0.40635216,0.39844254,-0.29799658,-0.92181593,-0.43124187
532,0.630096,-0.16948433,-0.30445302,0.4399254,0.24896477,-0.45868,-0.5602161,0.035341155,-0.6302294,-0.096259296,-0.9529906,0.44949222,-0.40347826,0.12455757,-0.2750685,-0.14139828,0.3290721,0.38612995,-0.080791876,-0.5210157,-0.2960159,-0.14542167,0.409306,0.46428478,-0.15144187,-0.24695551,0.34811157,-0.3540147,-0.07013635,-0.52505535,0.38614765,0.5153986,0.15937118,0.28016576,0.036550555,-0.42124292,-0.06385937,0.54531604,-0.15769757,-0.20868672,-0.61881614,-0.39529586,-0.29457974,-0.3098469,-0.26368427,-0.29853547,0.27163824,0.3648162,0.18087116,0.09997967,0.40486,0.30834383,0.29367894,0.09888175,-0.26628745,0.09154122,0.23160055,-0.12549503,-0.16699633,0.031002728,-0.46737286,-0.031196991,-0.16296808,0.36929128
558,1.2749218,-0.65482515,0.08421473,0.2501976,0.018686334,-0.72124314,0.13209724,0.26766634,0.03243748,-0.17960073,-0.527083,0.039370812,0.39448607,0.30742773,-0.06329773,-0.34899375,0.05450661,0.04799561,0.16724396,-0.27835438,-0.51405,-0.40618286,0.5928503,0.43606028,0.19152263,-0.7920253,0.6596734,-0.40710816,-0.0020902245,-0.89622515,0.4050767,0.6016971,0.34728295,1.2113847,-0.32063076,-0.5482734,0.14892007,0.5593421,-0.26457733,-0.6789976,-0.04983031,-0.6578692,-0.80902684,-0.10310394,-0.17010419,-0.15907481,0.3138112,0.33276856,-0.11223918,-0.16081169,-0.089819625,0.5663128,1.2193578,0.8626639,-0.5271038,0.5404618,0.4556157,0.06662469,-0.16189608,-0.0357888,-0.4683179,0.040130917,-0.31157988,-0.06268905
564,1.0202028,-0.79169637,0.28576776,0.45864716,-0.45101807,-1.1612499,-0.31056488,0.003520977,-0.46739227,-0.8678869,-0.4527638,-0.028027663,-0.29836914,0.11800598,-0.40979776,-0.56281286,-0.07184287,0.13809595,0.30181634,-0.060354136,-1.3161339,0.045149665,0.044688363,0.80813533,0.094251566,-0.4889363,1.2790151,-1.0350171,0.5319916,-0.68206203,0.5785944,0.75705606,0.48760208,1.3465158,0.589278,-0.23546349,0.017727267,0.8838783,0.20291375,-1.4960172,-0.2538726,-0.6753371,-0.4086294,-0.2664552,-0.8908807,-0.10193187,0.25041565,-0.29351443,0.29175326,-0.25565308,0.6534743,0.488012,1.6316581,1.2498885,0.3205945,-0.07762915,0.58215046,-1.0402074,0.15031987,-0.31741905,-0.46326584,-0.07827122,-1.0162157,-0.058993664
569,0.9424479,-0.9206694,0.43436858,0.391545,-0.41080397,-1.2810175,-0.5090191,-0.015331127,-0.6356954,-0.5216433,-0.7909115,-0.24101928,-0.83060044,0.1402474,-0.41711867,-0.78328925,0.009150964,0.7926912,0.22504437,-0.3235301,-1.0830055,-0.037986193,0.002778641,1.17177,-0.03676707,-0.5848414,0.99377507,-1.0707015,0.35157704,-0.6877224,0.37351474,0.878103,0.38787976,0.9625524,0.7627683,-0.30444568,-0.22024596,0.97238606,0.22420493,-1.4934983,-0.34120372,-0.6723887,-0.10816566,-0.53579646,-0.70671666,-0.06792192,0.13166167,-0.40537068,0.34314445,-0.085793234,0.5962988,0.73447573,1.5711309,0.9574716,0.5548491,-0.33164957,0.74445784,-1.0227375,0.13734923,-0.31047076,-0.78336763,0.1532068,-0.92629457,0.007058167
570,1.0782338,-0.43490705,0.09407973,0.20420821,0.048576903,-0.6919904,-0.039202373,-0.021336712,0.29426005,0.423309,-0.9707631,0.056665763,-0.20632446,0.14121282,-0.044951793,-0.20154102,0.37236103,0.36991024,-0.4357266,-0.814047,-0.021955412,-0.26942888,0.57483315,0.9336456,-0.20438509,-1.0473243,0.3820183,-0.31169593,0.029150827,-0.6297833,0.7226296,0.5397949,0.47559106,0.6043073,-0.13001941,-0.8196173,-0.047832504,0.6059876,0.031694427,-0.5285817,-0.6197131,-0.62682974,-0.56065506,-0.42433336,0.03153337,-0.26096827,-0.030132689,0.62443787,-0.099362426,-0.1963183,-0.06768767,0.3228188,0.96052176,0.48807046,-0.7352902,0.57270384,0.1353929,0.18886209,-0.010843891,-0.1541632,-0.7872916,0.16422646,-0.104175076,0.8910787
